,grupo,empleo_india_%,share,IEA_EU,OAXI_EU,contrib_IEA,contrib_OAXI
6,Agrarios/pesca cualif.,37.97,0.3797,28.3,4.2,10.75,1.59
9,Elementales,21.28,0.2128,20.8,2.8,4.43,0.6
5,Servicios y ventas,11.54,0.1154,30.4,6.4,3.51,0.74
7,Artesanos/oficios,11.09,0.1109,24.6,5.0,2.73,0.55
8,Operadores de planta/máquina,5.32,0.0532,20.4,1.4,1.09,0.07
2,Profesionales,5.28,0.0528,68.0,36.4,3.59,1.92
1,Directivos,3.16,0.0316,64.6,36.8,2.04,1.16
3,Técnicos,2.26,0.0226,49.7,19.8,1.12,0.45
4,Administrativos,2.11,0.0211,56.1,11.7,1.18,0.25
